lon,lat,HeatFlow,method,error,distancia,error_dist,ix_Grilla
-66.68,-33.203,57.98,3.0,14.0,573.6704849865929,0.0310329424718309,[]
-61.549,-27.358,73.31,3.0,14.0,1017.091649508174,0.0035808758358741,[]
-63.97,-33.951,49.61,3.0,14.0,828.0425155134827,0.0005874459459927,[]
-68.596,-29.51,42.21,3.0,14.0,382.45769370766646,0.0265389802037051,"[11583, 11584, 11663, 11664]"
-67.585,-34.758,65.34,3.0,14.0,544.9008564576136,0.0047132464716749,"[15833, 15834, 15913, 15914]"
-61.996,-31.43,52.77,3.0,14.0,1010.2417232756565,0.0109353500840918,[]
-61.128,-27.054,58.73,3.0,14.0,1051.5997059004403,0.0017776283758902,[]
-61.26,-28.429,62.07,3.0,14.0,1064.3114542833564,0.0101895277322165,[]
-68.46,-30.281,54.01,3.0,14.0,392.8407397209453,0.0119374627875882,"[12224, 12225, 12304, 12305]"
-67.15,-31.8,64.03,3.0,14.0,519.434364433555,0.0328208852178823,"[13437, 13438, 13517, 13518]"
-64.024,-26.338,73.08,3.0,14.0,759.758087875203,0.0053461685552364,[]
-64.136,-26.259,78.38,3.0,14.0,749.2497746778997,0.0037889066506906,[]
-62.652,-25.76,73.71,3.0,14.0,890.9939406570063,0.0041388279848161,[]
-67.116,-34.024,74.73,3.0,14.0,546.6263404553765,0.0167333619158884,"[15198, 15199, 15278, 15279]"
-67.16,-33.977,75.4,3.0,14.0,533.9936183712495,0.0142963411194742,"[15197, 15198, 15277, 15278]"
-63.149,-28.354,65.05,3.0,14.0,880.6216239393691,0.0018738053170698,[]
-68.593,-30.797,39.27,3.0,14.0,378.11825139843097,0.0148692668321479,"[12623, 12624, 12703, 12704]"
-68.584,-30.442,44.55,3.0,14.0,380.1538701941897,0.0043784939764768,"[12303, 12304, 12383, 12384]"
-63.752,-25.393,69.34,3.0,14.0,783.4945855030293,0.015948853942918,[]
-62.827,-32.85,58.48,3.0,14.0,935.9392272380652,0.0,[]
-60.072,-26.408,53.87,3.0,14.0,1152.263923755689,0.0190908577603741,[]
-68.367,-29.972,43.78,3.0,14.0,402.9940283853704,0.0092261518542386,"[11985, 11986, 12065, 12066]"
-69.347,-35.422,71.82,3.0,14.0,407.8552167613763,0.0203063651895156,"[16296, 16297, 16376, 16377]"
-66.96,-33.286,71.67,3.0,14.0,547.6438838275992,0.0179465979648818,"[14639, 14719]"
-62.863,-24.129,77.09,3.0,14.0,871.1261147940509,0.0085855442519466,[]
-62.069,-32.509,51.05,3.0,14.0,1000.696758297786,0.0239055596973841,[]
-66.978,-31.382,52.81,3.0,14.0,538.5601838048555,0.014846070302722,"[13119, 13199]"
-68.856,-32.282,47.91,3.0,14.0,366.1746957817054,0.0129090843911748,"[13820, 13821, 13900, 13901]"
-62.956,-28.864,60.15,3.0,14.0,914.682114856426,0.006598378395955,[]
-66.68,-34.056,70.41,3.0,14.0,586.7771046696749,0.0034764774208294,[]
